claranet_spryker-demoshop,,
nocproject_noc,,
MaharaProject_mahara,,
mirumee_saleor,,
cfpb_hmda-platform,,
superdesk_superdesk,,
EGroupware_egroupware,,
mozilla-bteam_bmo,,
golastmile_rasa_nlu,,
taskcluster_taskcluster,,
samvera_hyrax,,
milvus-io_milvus,,
daos-stack_daos,,
weseek_growi,TF,C:\Users\camyi\weseek_growi\apps\app\docker\codebuild\codebuild.tf
onap_clamp,,
4teamwork_opengever.core,,
codalab_codalab-competitions,,
pravega_pravega,,
sillsdev_web-languageforge,,
mesosphere_marathon,,
rucio_rucio,,
MarkUsProject_Markus,,
onap_multicloud-k8s,,
poanetwork_blockscout,,
hyperledger_besu,,
alchemy-fr_Phraseanet,,
ovh_cds,,
wellcometrust_wellcomecollection.org,AWS;TF,C:\Users\camyi\wellcometrust_wellcomecollection.org\.gitbook.yml;C:\Users\camyi\wellcometrust_wellcomecollection.org\assets\terraform\versions.tf
bcgov_moh-prime,,
scalingpythonml_scalingpythonml.github.io,,
dockersamples_example-voting-app,,
openstates_openstates-scrapers,,
virtualcell_vcell,,
hummingbird-me_kitsu-tools,,
sandialabs_scot,,
cortexproject_cortex,,
fedspendingtransparency_usaspending-api,,
jenkins-x_jx-docs,,
DFE-Digital_apply-for-teacher-training,TF,C:\Users\camyi\DFE-Digital_apply-for-teacher-training\jmeter\variables.tf
apache_kudu,,
lsst_qserv,,
adorsys_xs2a,,
hmcts_ccpay-payment-app,AZ;TF,C:\Users\camyi\hmcts_ccpay-payment-app\infrastructure\template\api.json;C:\Users\camyi\hmcts_ccpay-payment-app\infrastructure\provider.tf
planetarium_NineChronicles,,
hotosm_tasking-manager,,
mayan-edms_Mayan-EDMS,,
letsencrypt_boulder,,
jeff1evesque_machine-learning,PUP,C:\Users\camyi\jeff1evesque_machine-learning\puppet\environment\docker\modules\mariadb\manifests\bindings.pp
byran_web,,
avalonmediasystem_avalon,,
raster-foundry_raster-foundry,,
collinbarrett_FilterLists,,
OpenDSA_OpenDSA,,
alephdata_aleph,,
owncloud_phoenix,,
czcorpus_kontext,,
stoqs_stoqs,,
amazeeio_lagoon,,
DataDog_dd-trace-py,,
fedspendingtransparency_data-act-broker-backend,,
matter-labs_zksync,,
3scale_porta,,
palletone_go-palletone,,
FarmBot_Farmbot-Web-App,,
coopcycle_coopcycle-web,,
eclipse_kapua,,
smrealms_smr,,
omisego_elixir-omg,,
rust-lang_crates.io,,
deviantony_docker-elk,,
confluentinc_examples,,
hashicorp_waypoint,,
tmtsoftware_csw,,
akka_alpakka,,
comic_grand-challenge.org,,
skywatch-jtv_agile-lorawan-support,,
bcgov_jag-file-submission,,
prisma_prisma-engines,,
hmcts_tribunals-case-api,TF,C:\Users\camyi\hmcts_tribunals-case-api\infrastructure\versions.tf
andryyy_mailcow-dockerized,,
Solinea_goldstone-server,,
MTG_freesound,,
FightPandemics_FightPandemics,TF,C:\Users\camyi\FightPandemics_FightPandemics\services\notification\deploy\main.tf
CaliOpen_Caliopen,,
creativesoftwarefdn_weaviate,TF,C:\Users\camyi\creativesoftwarefdn_weaviate\test\benchmark\remote\terraform\main.tf
eHealthAfrica_aether,,
ministryofjustice_opg-use-an-lpa,TF,C:\Users\camyi\ministryofjustice_opg-use-an-lpa\terraform\account\lookups.tf
appwrite_appwrite,,
harvard-lil_capstone,,
EOL_eol_website,,
nymtech_nym,,
bugsnag_bugsnag-js,AWS,C:\Users\camyi\bugsnag_bugsnag-js\test\aws-lambda\features\fixtures\serverless-express-app\template.yaml
astarte-platform_astarte,,
remp2020_remp,AWS,C:\Users\camyi\remp2020_remp\.gitlab-ci.yml
CovenantSQL_CovenantSQL,,
jpetazzo_container.training,TF,C:\Users\camyi\jpetazzo_container.training\prepare-labs\terraform\providers\vcluster\variables.tf
microservices-demo_front-end,,
RedHatInsights_vmaas,,
dainst_cilantro,,
hypertrace_hypertrace-service,,
moira-alert_moira,,
HubSpot_Baragon,,
DaisukeHirata_express-typescript-openapi3,AWS,C:\Users\camyi\DaisukeHirata_express-typescript-openapi3\image-resizer-service\.serverless\cloudformation-template-create-stack.json
wazo-platform_wazo-auth,,
nextcloud_docker,,
ProjectEKA_consent-manager,,digirati-co-uk_madoc-platform,,
digirati-co-uk_madoc-platform,,
wazo-platform_wazo-calld,,
cyber-dojo_runner,TF,C:\Users\camyi\cyber-dojo_runner\deployment\terraform\variables.tf
topcoder-platform_tc-project-service,,
ikemtz_Nurser,,
MAIF_izanami,,
RasaHQ_rasa-sdk,,
Greenstand_treetracker-admin,,
SoftwareAG_sagdevops-templates,,
gnosis_safe-transaction-service,,
overture-stack_score,,
HBPMedical_mip-deployment,,
Combitech_codefarm,,
shopgate_connect-integration-sdk,,
piomin_sample-spring-microservices,,
hobbit-project_platform,,
OpenLMIS_openlmis-ref-distro,,
OADA_oada-srvc-docker,,
moondev_million-song-library,,
lblod_app-demo-editor,,
Engineering-Research-and-Development_true-connector-execution_core_container,,
cuappdev_ithaca-transit-backend,,
EMSL-MSC_pacifica-upload-status,,
pelias_docker,,
Viveckh_Veniqa,,
savantly-net_sprout-platform,,
theparanoids_ashirt-server,,
FAForever_faf-stack,,
sorry-cypress_sorry-cypress,AWS,C:\Users\camyi\sorry-cypress_sorry-cypress\cloudformation\sorry-cypress-advanced-deployment.yml
firezone_firezone,TF,C:\Users\camyi\firezone_firezone\terraform\environments\performance\variables.tf
cygnusb2b_radix,,
tisboyo_Twitch_Bot,,
pagarme_superbowleto,,
globocom_vault,,
checkr_flagr,,
somleng_somleng-project,TF,C:\Users\camyi\somleng_somleng-project\infrastructure\somleng\backup_database\versions.tf
codefordc_dc-campaign-finance-watch,,
instedd_oasis,,
TheRestartProject_RepairDirectory,,
zeeguu-ecosystem_Zeeguu-API,,
uavaustin_orchestra,,
lidarr_LidarrAPI.Metadata,,
lightninglabs_loop,,
zavada-sergey_TradeUnionCommittee.Web.App,,
CodelyTV_php-ddd-example,,
interlay_polkabtc-js,,
FudanSELab_train-ticket,,
bcgov_von-bc-registries,,
Donders-Institute_streamer,,
networknt_light-config-test,,
dojot_docker-compose,,
sagikazarmark_modern-go-application,,
Cingulara_openrmf-docs,,
OpenCodeFoundation_eSchool,,
sflpro_notifier,,
Netflix_mantis,,
SasanLabs_VulnerableApp,,
barcus_bareos,,
opensanca_opensanca_jobs,,
ivanpaulovich_clean-architecture-manga,,
StackStorm_st2-docker,,
big-data-europe_docker-hadoop,,
microsoft_kafka-connect-cosmosdb,,
mwinteringham_restful-booker-platform,,
HotMaps_Hotmaps-toolbox-service,,
grin-pool_grin-pool,,
pyaiot_pyaiot,,
chaoss_grimoirelab,,
dpukhkaiev_BRISE2,,
keep-network_local-setup,,
tinkerbell_boots,,
BuoyantIO_emojivoto,,
ems-project_elasticms,,
vietnam-devs_coolstore-microservices,,
OpenLiberty_liberty-bikes,,
mozilla-conduit_lando-api,,
tshuck_musicbox-api,,
bcgov_EDUC-ECAS,,
camba1_gotemp,,
CIMonitor_CIMonitor,,
mikesplain_openvas-docker,,
ienoobong_mmadu,,
OpenLMIS_openlmis-contract-tests,,
hypertrace_hypertrace,,
RADAR-base_RADAR-Rest-Source-Auth,,
kubemq-io_kubemq-targets,,
gavr-games_lords,,
MicrosoftDocs_mslearn-aspnet-core,,
NEURONE-IL_neurone,,
ioos_glider-dac,,
strangesast_core,,
yacy_yacy_grid_mcp,,
dotnet-architecture_eShopModernizing,AZ,C:\Users\camyi\dotnet-architecture_eShopModernizing\ACI\aci.json
greenpress_greenpress,,
hashintel_engine,TF,C:\Users\camyi\hashintel_engine\infra\terraform\hash\postgres_roles\variables.tf
EGA-archive_beacon-2.x,,
psisoyev_train-station,,
tokend_developer-edition,,
BrainBackup_bb8,,
gctools-outilsgc_profile_service,,
Patrik-Stas_indyscan,TF,C:\Users\camyi\Patrik-Stas_indyscan\start-aws\variables.tf
azavea_tilegarden,,
Bauer-Xcel-Media_node-healthchecks-api,,
MEAE-GOT_WAII,,
pagarme_tldr,,
rodrigorodrigues_microservices-design-patterns,,
hubcare_hubcare-api,,
SrinivasanTarget_ContractTestingBoilerplate,,
CoorpAcademy_serverless-plugins,,
teffland_FoodborneNYC,,
phongnguyend_Practical.CleanArchitecture,TF,C:\Users\camyi\phongnguyend_Practical.CleanArchitecture\deployments\Azure\terraform\locals.tf
barnumd_idp-in-a-box,TF,C:\Users\camyi\barnumd_idp-in-a-box\terraform\070-id-sync\versions.tf
KSP-CKAN_NetKAN-Infra,,
transitco_serviceOffer,,
FUB-HCC_IKON-backend,,
wazo-platform_wazo-phoned,,
ukwa_ukwa-heritrix,,
geoserver_geoserver-cloud,,
confluentinc_cp-all-in-one,,
pclubiitk_puppy-love,,
mozilla-services_autograph-edge,,
CMLPlatform_ramascene,,
Reconmap_api-backend,,
makeitfine-org_mif,,
HenryQW_Awesome-TTRSS,,
vmudigal_microservices-sample,,
skalogs_SkaETL,,
MuizMahdi_EHR-Route,,
sebgl_htpc-download-box,,
QwantResearch_kartotherian_docker,,
keylime_rust-keylime,,
microservices-patterns_ftgo-application,,
linianhui_oidc.example,,
mediaforensics_medifor,,
RedHatInsights_insights-puptoo,,
fundacionempowerment_VACH,,
cloudlibz_clocal-azure,,
Hygieia_ExecDashboard,,
lblod_app-toezicht-abb,,
behaviosec_explore-flink,,
marein_php-gaming-website,,
daggerok_streaming-file-server,,
mozilla-conduit_lando-ui,,
elastest_elastest-bigdata-service,,
polytechnice-si_4A_ISA_TheCookieFactory,,
georchestra_docker,,
mcci-catena_docker-iot-dashboard,,
secret-tech_backend-ico-dashboard,,
cmgl_product-model-toolkit,,
Waziup_WaziGate,,
datakaveri_iudx-catalogue-server,,
dgutman_webix_image_organizer,,
jmpsec_osctrl,,
dice-group_Basilisk,,
petabridge_Cluster.WebCrawler,,
GeoKnow_LinkedGeoData,,
pagidas_cryptobot,,
lightstep_opentelemetry-examples,,
MathieuB1_KOREK,,
FantasticFiasco_serilog-sinks-http-elastic-stack,,
jongio_memealyzer,,
mvs-org_explorer,,
kkosiba_ecommerce-backend,,
ome_omero-ms-zarr,,
cod1ng-earth_coding-earth,,
kartoza_docker-osm,,
ealexisaraujo_product-collector,,
flowant_website,,
geisekss_mmdemo-dockerized,,
mimo-labs_core-server,,
TerraMA2_docker,,
Financial-Times_native-ingester,,
stackroute_ibm-wave7-lifeline,,
tilt-dev_servantes,,
junjuew_OpenTPOD,,
vigneshwari-duraisamy_AKSCinemaApp,,
ivadim_fruitnanny,,
gravitee-io_gravitee-docker,,
ukwa_ukwa-services,,
icebob_catalyst,,
itering_subscan-essentials,,
marten-seemann_quic-network-simulator,,
mattkohl_docker-flask-celery-redis,,
cau-se_titan-ccp,,
blackducksoftware_hub,,
PecanProject_BETYdb-YABA,,
vulpemventures_nigiri,,
TibebeJS_masterlance,,
bcgov_aries-vcr-issuer-controller,,
nevali_acropolis,,
MieuxVoter_mvapi,,
snatch-dev_Convey,,
decentralized-identity_universal-registrar,,
charlessolar_eShopOnContainersDDD,,
bartverdonck_Sitecore-Forms-Extensions,,
gh-network_gateway,,
InsightDataScience_Sherlock,,
syxolk_euro2016,,
FIWARE_tutorials.Time-Series-Data,,
loomio_loomio-deploy,,
mjoniec_Utils,,
erdemdmr_microprofile-samples,,
neuland_micro-frontends,,
tgrall_redis-microservices-demo,,
dotnet-architecture_eShopOnDapr,AWS,C:\Users\camyi\dotnet-architecture_eShopOnDapr\src\Web\WebStatus\appsettings.json
bbc_cloud-sync,,
MrBW_chaos-monkey-spring-boot-demo,,
Wradgio_StretchShop,,
oiraqi_immunizer,,
Shyam-Chen_GraphQL-Stack,,
rithinch_Event-Driven-Microservices-Sample,,
danionescu0_docker-flask-mongodb-example,,
logcorner_LogCorner.EduSync.Speech.Command,TF,C:\Users\camyi\logcorner_LogCorner.EduSync.Speech.Command\iac\terraform\apim\providers.tf
Fatezhang_scaffold-cloud,,
gs1_GS1_DigitalLink_Resolver_CE,,
jaheikki_cucumber-selenide-allure,,
oktadeveloper_jhipster-microservices-example,,
radulecu_spring-microservices,,
Microservice-API-Patterns_LakesideMutual,,
zmhassan_streaming-online-analytics-demo,,
DSOI-ALL_devops-microcosm,AWS,C:\Users\camyi\DSOI-ALL_devops-microcosm\AWS\resources\LAYER2_ECS_Containers.yaml
kecorbin_pyosupgrade,,
alphagov_govuk-docker,,
asc-lab_micronaut-microservices-poc,,
Amsterdam_dcatd,,
aliyun_alibabacloud-microservice-demo,,
aspnetrun_run-aspnetcore-microservices,,
avi202020_bigdata,,
magenta-aps_os2datascanner,,
juicycleff_ultimate-backend,TF,C:\Users\camyi\juicycleff_ultimate-backend\iac\providers.tf
wazo-pbx_wazo-webhookd,,
EdwinVW_pitstop,,
geonetwork_geonetwork-microservices,,
kiotlog_kiotlog,,
pankod_moleculerjs-boilerplate,,
nquocnghia_microcalc,,
xeraa_microservice-monitoring,TF,C:\Users\camyi\xeraa_microservice-monitoring\lightsail\variables.tf
reportportal_reportportal,,
microapidev_email-microapi,,
piomin_sample-spring-microservices-new,,
CODA-19_dashboard,,
idugalic_micro-company,,
xebialabs_e-commerce-microservice,,
oktadev_java-microservices-examples,,
harlow_go-micro-services,,
Sfeir_golang-200,,
ZeroCater_zc_events,,
moleculerjs_moleculer-examples,,
lucaschen_microservices-demo,TF,C:\Users\camyi\lucaschen_microservices-demo\terraform\providers.tf
outstack_enveloper,,
kbastani_event-sourcing-microservices-example,,
hmisonne_udagrammicroservices,,
javieroc_docker-microservices,,
harish71_java-microservice,,
dms98br_nest-microservices,,
jatinbajaj1_xpresso,,
buratina_hands-on-microservices-with-typescript-3,,
Phyks_medonay,,
ninokop_dubbo-demo,,
volak_TodoMVC-DDD-CQRS-EventSourcing,,
3pillarlabs_hailstorm-sdk,,
arcuri82_testing_security_development_enterprise_systems,,
Autoscaler_autoscaler,,
apache_skywalking-python,,
avi202020_fx-trading-app,,
atulmy_fullstack-javascript-architecture,,
abixen_abixen-platform,,
apache_skywalking-nodejs,,
andreybavt_Hobo-Sapiens,,


